theta,a,b,z,A2,status
30.0,4.0,11.7,2.0,-14.0,NotYet
30.0,4.0,11.7,2.0,-12.0,NotYet
30.0,4.0,11.7,2.0,-10.0,NotYet
30.0,4.0,11.7,2.0,-8.0,NotYet
30.0,4.0,11.7,2.0,-6.0,NotYet
30.0,4.0,11.7,2.0,-4.0,NotYet
30.0,4.0,11.7,2.0,-2.0,NotYet
30.0,4.0,11.7,2.0,0.0,NotYet
30.0,4.0,11.7,2.0,2.0,NotYet
30.0,4.0,11.7,2.0,4.0,NotYet
30.0,4.0,11.7,2.0,6.0,NotYet
30.0,4.0,11.7,2.0,8.0,NotYet
30.0,4.0,11.7,2.0,10.0,NotYet
30.0,4.0,11.7,2.0,12.0,NotYet
30.0,4.0,11.7,2.0,14.0,NotYet
30.0,4.0,11.7,2.2,-14.0,NotYet
30.0,4.0,11.7,2.2,-12.0,NotYet
30.0,4.0,11.7,2.2,-10.0,NotYet
30.0,4.0,11.7,2.2,-8.0,NotYet
30.0,4.0,11.7,2.2,-6.0,NotYet
30.0,4.0,11.7,2.2,-4.0,NotYet
30.0,4.0,11.7,2.2,-2.0,NotYet
30.0,4.0,11.7,2.2,0.0,NotYet
30.0,4.0,11.7,2.2,2.0,NotYet
30.0,4.0,11.7,2.2,4.0,NotYet
30.0,4.0,11.7,2.2,6.0,NotYet
30.0,4.0,11.7,2.2,8.0,NotYet
30.0,4.0,11.7,2.2,10.0,NotYet
30.0,4.0,11.7,2.2,12.0,NotYet
30.0,4.0,11.7,2.2,14.0,NotYet
30.0,4.0,11.7,2.4,-14.0,NotYet
30.0,4.0,11.7,2.4,-12.0,NotYet
30.0,4.0,11.7,2.4,-10.0,NotYet
30.0,4.0,11.7,2.4,-8.0,NotYet
30.0,4.0,11.7,2.4,-6.0,NotYet
30.0,4.0,11.7,2.4,-4.0,NotYet
30.0,4.0,11.7,2.4,-2.0,NotYet
30.0,4.0,11.7,2.4,0.0,NotYet
30.0,4.0,11.7,2.4,2.0,NotYet
30.0,4.0,11.7,2.4,4.0,NotYet
30.0,4.0,11.7,2.4,6.0,NotYet
30.0,4.0,11.7,2.4,8.0,NotYet
30.0,4.0,11.7,2.4,10.0,NotYet
30.0,4.0,11.7,2.4,12.0,NotYet
30.0,4.0,11.7,2.4,14.0,NotYet
30.0,4.0,11.7,2.6,-14.0,NotYet
30.0,4.0,11.7,2.6,-12.0,NotYet
30.0,4.0,11.7,2.6,-10.0,NotYet
30.0,4.0,11.7,2.6,-8.0,NotYet
30.0,4.0,11.7,2.6,-6.0,NotYet
30.0,4.0,11.7,2.6,-4.0,NotYet
30.0,4.0,11.7,2.6,-2.0,NotYet
30.0,4.0,11.7,2.6,0.0,NotYet
30.0,4.0,11.7,2.6,2.0,NotYet
30.0,4.0,11.7,2.6,4.0,NotYet
30.0,4.0,11.7,2.6,6.0,NotYet
30.0,4.0,11.7,2.6,8.0,NotYet
30.0,4.0,11.7,2.6,10.0,NotYet
30.0,4.0,11.7,2.6,12.0,NotYet
30.0,4.0,11.7,2.6,14.0,NotYet
30.0,4.0,11.7,2.8,-14.0,NotYet
30.0,4.0,11.7,2.8,-12.0,NotYet
30.0,4.0,11.7,2.8,-10.0,NotYet
30.0,4.0,11.7,2.8,-8.0,NotYet
30.0,4.0,11.7,2.8,-6.0,NotYet
30.0,4.0,11.7,2.8,-4.0,NotYet
30.0,4.0,11.7,2.8,-2.0,NotYet
30.0,4.0,11.7,2.8,0.0,NotYet
30.0,4.0,11.7,2.8,2.0,NotYet
30.0,4.0,11.7,2.8,4.0,NotYet
30.0,4.0,11.7,2.8,6.0,NotYet
30.0,4.0,11.7,2.8,8.0,NotYet
30.0,4.0,11.7,2.8,10.0,NotYet
30.0,4.0,11.7,2.8,12.0,NotYet
30.0,4.0,11.7,2.8,14.0,NotYet
30.0,4.0,11.7,3.0,-14.0,NotYet
30.0,4.0,11.7,3.0,-12.0,NotYet
30.0,4.0,11.7,3.0,-10.0,NotYet
30.0,4.0,11.7,3.0,-8.0,NotYet
30.0,4.0,11.7,3.0,-6.0,NotYet
30.0,4.0,11.7,3.0,-4.0,NotYet
