a,b,theta,A2,z,phi,status
9.8,6.2,30,-20.0,-4.0,60.0,NotYet
9.6,6.6,30,-20.0,-3.8,50.0,NotYet
9.3,6.8,30,-20.0,-3.6,50.0,NotYet
8.5,7.8,30,-20.0,-2.6,10.0,NotYet
8.4,7.8,30,-20.0,-2.4,10.0,NotYet
8.2,7.9,30,-20.0,-2.2,10.0,NotYet
8.5,7.8,30,-20.0,-2.0,10.0,NotYet
10.0,7.0,30,-20.0,-1.2,0.0,NotYet
10.2,6.7,30,-20.0,-1.0,0.0,NotYet
10.4,6.7,30,-20.0,-0.8,0.0,NotYet
10.7,6.5,30,-20.0,-0.6,0.0,NotYet
11.0,6.5,30,-20.0,-0.4,0.0,NotYet
11.2,6.6,30,-20.0,-0.2,0.0,NotYet
11.3,6.7,30,-20.0,0.0,0.0,NotYet
11.4,6.7,30,-20.0,0.2,0.0,NotYet
11.5,6.7,30,-20.0,0.4,0.0,NotYet
11.6,6.6,30,-20.0,0.6,0.0,NotYet
11.7,6.4,30,-20.0,0.8,0.0,NotYet
11.9,6.1,30,-20.0,1.0,0.0,NotYet
12.0,5.7,30,-20.0,1.2,20.0,NotYet
11.9,5.7,30,-20.0,1.4,30.0,NotYet
11.8,5.6,30,-20.0,1.6,30.0,NotYet
11.6,5.5,30,-20.0,1.8,30.0,NotYet
11.4,5.5,30,-20.0,2.0,30.0,NotYet
11.1,5.5,30,-20.0,2.2,40.0,NotYet
10.8,5.3,30,-20.0,2.4,0.0,NotYet
10.4,5.1,30,-20.0,2.6,0.0,NotYet
10.0,4.8,30,-20.0,2.8,0.0,NotYet
9.9,4.4,30,-20.0,3.0,0.0,NotYet
9.8,4.2,30,-20.0,3.2,0.0,NotYet
9.5,4.1,30,-20.0,3.4,0.0,NotYet
9.3,3.9,30,-20.0,3.6,0.0,NotYet
9.0,3.6,30,-20.0,3.8,40.0,NotYet
8.6,3.3,30,-20.0,4.0,40.0,NotYet
9.7,6.2,30,-18.0,-4.0,60.0,NotYet
9.4,6.4,30,-18.0,-3.8,60.0,NotYet
