theta,A2,a,b,z,phi,status
30.0,-20.0,9.7,6.9,-4.0,0.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,10.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,20.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,30.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,40.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,50.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,60.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,70.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,80.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,90.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,100.0,NotYet
30.0,-20.0,9.7,6.9,-4.0,110.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,0.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,10.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,20.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,30.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,40.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,50.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,60.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,70.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,80.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,90.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,100.0,NotYet
30.0,-20.0,9.6,7.1,-3.8,110.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,0.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,10.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,20.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,30.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,40.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,50.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,60.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,70.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,80.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,90.0,NotYet
