a,b,theta,z,A2,phi1,phi2,status
8.0,6.8,30.0,-4.0,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-4.0,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-3.8,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-3.8,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-3.8,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-3.8,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-3.6,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-3.6,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-3.6,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-3.6,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-3.4,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-3.4,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-3.4,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-3.4,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-3.2,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-3.2,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-3.2,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-3.2,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-3.0,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-3.0,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-3.0,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-3.0,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-2.8,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-2.8,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-2.8,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-2.8,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-2.6,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-2.6,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-2.6,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-2.6,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-2.4,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-2.4,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-2.4,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-2.4,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-2.2,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-2.2,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-2.2,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-2.2,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-2.0,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-2.0,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-2.0,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-2.0,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-1.8,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-1.8,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-1.8,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-1.8,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-1.6,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-1.6,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-1.6,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-1.6,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-1.4,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-1.4,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-1.4,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-1.4,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-1.2,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-1.2,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-1.2,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-1.2,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-1.0,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-1.0,-14.0,20.0,250.0,NotYet
6.1,8.4,60.0,-1.0,-10.0,30.0,40.0,NotYet
6.1,8.4,60.0,-1.0,-10.0,30.0,200.0,NotYet
8.0,6.8,30.0,-0.8,-14.0,20.0,40.0,NotYet
8.0,6.8,30.0,-0.8,-14.0,20.0,250.0,NotYet
